PROCESO;EQUIPO;ZONA;ESTRUCTURA;PAQUETE;PLANOS DE MONTAJE;VISOR 3D;DESCRIPCION
Solubilización;Reactors;Support structure for reactors (sol to bunker);ST-01;1;https://drive.google.com/file/d/1NIWeW6TIWcy_9MjbhoJ_oFgAOir8DII5/view?usp=drive_link;https://autode.sk/3LWbc1J;
Solubilización;Reactors;Support structure for campanas and reactor 1 beams ;ST-02;1;https://drive.google.com/file/d/1RTte-JvRKwAi4KvLsDIXQITRD2avyFlo/view?usp=drive_link;https://autode.sk/45ycNl3;
Solubilización;Reactors;Support structure for campanas and reactor 2 beams ;ST-02;2;https://drive.google.com/file/d/1nTCGd_OHQoicTKFE6tlhsZVLBVJcA0a0/view?usp=drive_link;https://autode.sk/46uJEYk;
Solubilización;Reactors;Acces of reactor;ST-02;3;;https://autode.sk/4sd2ueR;
Solubilización;Reactors;Beam of reactors;ST-02;4;https://drive.google.com/file/d/1g_DPqSGsmhP1JT3VpW6IbV1Jp7OKmz4r/view?usp=drive_link;https://autode.sk/4rNEkYO;
Solubilización;Reactors;Scraper;ST-02;6;;https://autode.sk/4sfAh7i;
Solubilización;Reactors;Support for reactor 1 duct;ST-03;1;https://drive.google.com/file/d/1kfOcQ8ujU8AQuk1-4CkTyJnAKzk4W3Td/view?usp=drive_link;https://autode.sk/49L3EYI;
Solubilización;Reactors;Support for reactor 2 duct;ST-03;2;https://drive.google.com/file/d/1_cJnDwPfigIx9QF3ECtC0eODffap0PNZ/view?usp=drive_link;https://autode.sk/46uKbcK;
Solubilización;Reactors;Platforme  Continue of reactors;ST-03;3;https://drive.google.com/file/d/1l_lUFnN0P-ZQzRb9LFcZXyN_Iu5p9GIx/view?usp=drive_link;;
Solubilización;Dosing;Solid dosing system support for reactor;ST-04;1;https://drive.google.com/file/d/1o_LX0NnR_xeXOLmTZili2iuo71CdGuUh/view?usp=drive_link;https://autode.sk/4t0pVJt;Sistema de dosificación sólida para los reactores
Solubilización;Dosing;Foundation - base plates;ST-04;2;https://drive.google.com/file/d/1NmYeL8631p4y2nPAvA-tVW4LYMZTppaN/view?usp=drive_link;;
Solubilización;Scrubbers of solubilization;Structure for scrubbers of solubilization;ST-05;1;https://drive.google.com/file/d/1PtkQYpaUSkfcJ0PmiUM7sCWBJtpiMIjA/view?usp=drive_link;https://autode.sk/4bml1jM;
Solubilización;Scrubbers of solubilization;Support cheminey;ST-05;2;https://drive.google.com/file/d/1ehBrOHdWiKlSGCN9QdmR-50JeUncilZx/view?usp=drive_link;https://autode.sk/4u0bOVd;
Solubilización;Cable try;Electrical rack for solubilisation;ST-06;1;https://drive.google.com/file/d/16leo8dbX10xrlbyvpUUqZvyvn1cmR83P/view?usp=drive_link;https://autode.sk/3LEPhvY;
Solubilización;Grinding;Structure for grinding  station;ST-08;1;;https://autode.sk/4tYOyqF;
Solubilización;Grinding;Support cheminey ;ST-08;2;https://drive.google.com/file/d/1tAiYDElrw_lI8TrpDEqJ8N4EGvUVLWuz/view?usp=drive_link;;
Equipment;Rack;Rack between general rack nd sulfuric acid zone;ST-11;1;https://drive.google.com/file/d/1CEDU9RSZA_im7oUk9R7o9ZuUa2ywN7Yx/view?usp=drive_link;https://autode.sk/4aTpR6e;
Equipment;Rack;Rack between general rack and granulation virole;ST-13;1;;https://autode.sk/4kWmU9A;
Granulation;Cheminey rotary filters;Structure, walkways and stais for cheminey;ST-14;1;;https://autode.sk/3Na81nD;
Granulation;Rotary filters;Platform structure for rotary filters;ST-15;1;https://drive.google.com/file/d/1gBJO9s8VQ004oLrWrZLxfJaMsROA7x3J/view?usp=drive_link;https://autode.sk/3LzhrZi;
Granulation;Rotary filters;Structure for conveyors;ST-15;2;https://drive.google.com/file/d/1G9vwkPCl-DJAmL8ro1pfSXVLOH3UjGDO/view?usp=drive_link;https://autode.sk/3OQfBUR;
Granulation;Rotary filters;Stairs and de walkways;ST-15;3;https://drive.google.com/file/d/1VYVZKLEbxKjfxyXwsOemeAv9DvN67GAb/view?usp=drive_link;https://autode.sk/4sgxeMe;
Granulation;Rotary filters;Platines;ST-15;4;https://drive.google.com/file/d/1jcgMNewBtVeVTUCKtv8XQaFBJVOdPeQa/view?usp=drive_link;;
Granulation;Rotary filters;Structures between cribas and filters acces;ST-15;6;https://drive.google.com/file/d/1cQPUawe0Fbmw0QNpL1fDeoqcR4p2ihGv/view?usp=drive_link;https://autode.sk/3P6w7jD;
Granulation;Convo;Convo campana 1;ST-18;1;https://drive.google.com/file/d/1oTTFSZ8j0fqMUWyHFT9qOkUBPFgWKe5o/view?usp=drive_link;https://autode.sk/4rKjUzQ;
Granulation;Convo;Convo campana 2;ST-18;2;https://drive.google.com/file/d/1q_WEL8TXjcneRP4j8Pu4VZhZYQ-5nhEI/view?usp=drive_link;https://autode.sk/4aHLTtX;
Granulation;Campanas;Structure for campanas S1;ST-19;1;https://drive.google.com/file/d/17JScyNMQ6C8aOBv17psE3HUUE2gOnd8b/view?usp=drive_link;https://autode.sk/45w2hut;
Granulation;Campanas;Structure for campanas R1;ST-19;2;https://drive.google.com/file/d/1yJckyuERSBiM8J0tBB61ENI76getAWAj/view?usp=drive_link;https://autode.sk/3N9bVNB;
Granulation;Campanas;Structure for campanas R2;ST-19;3;https://drive.google.com/file/d/1YZWj05-upL3ASRzXp8c_n5gnIsgU4nos/view?usp=drive_link;https://autode.sk/4tZ459R;
Granulation;Campanas;Structure for campanas S2;ST-19;4;;https://autode.sk/4l0G12p;
Granulation;Campanas;Structure for campanas ACO;ST-19;5;;https://autode.sk/4019D68;
Granulation;Rotaries;Passerelle for rotaries S1;ST-20;1;https://drive.google.com/file/d/1GHdhDZkYKakby1DDFh6E0OQqenlXDz33/view?usp=drive_link;;
Granulation;Granulator;Structure for granulator area;ST-21;1;https://drive.google.com/file/d/1_0BnLkQ_QdkEwkX961gype9SN7ZK86pw/view?usp=drive_link;https://autode.sk/4acPTlL;
Granulation;Granulator;Platinas;ST-21;2;https://drive.google.com/file/d/1p98fKatKtL-1AQH90fSJtcYLv7Si5dWU/view?usp=drive_link;https://autode.sk/4beIfb1;
Granulation;Combustion Chambers;Structure for combustion chambers S1;ST-22;1;https://drive.google.com/file/d/1BPvqxdxCtngtse931jqkq8MYWws4bg__/view?usp=drive_link;https://autode.sk/4aUzYHN;
Granulation;Combustion Chambers;Structure for combustion chambers R1;ST-22;2;;https://autode.sk/3MPlD7K;
Granulation;Screening area;Between cribas;ST-25;1;https://drive.google.com/file/d/1QBkM5s83D_r4-HSTChWlal1xQMLJf3x_/view?usp=drive_link;https://autode.sk/3NHl3cj;
Granulation;Screening area;Filters screening area 1;ST-26;1;https://drive.google.com/file/d/10Ms06rJRdq5THWNZ6Tu4gdbLYyzUxfJw/view?usp=drive_link;https://autode.sk/4jZlNp4;
Granulation;Screening area;Filters screening area 2;ST-27;1;https://drive.google.com/file/d/1ZnSl8JahaRHjFKfSLA9nZdpQerDxYVGX/view?usp=drive_link;https://autode.sk/3LBgJe3;
Granulation;Screening area;Structure for screening area 1 (Conveyors);ST-28;1;https://drive.google.com/file/d/1-r3Gogtac6rPmbKu3SNA_CPhaSTLKA7n/view?usp=drive_link;https://autode.sk/4qcwTZC;
Granulation;Screening area;Structure for screening area 1 (Conv above the cribas);ST-28;2;;https://autode.sk/3NaWSTw;
Granulation;Screening area;Support vibrateur (area 1);ST-28;3;;https://autode.sk/4aI7baJ;
Granulation;Screening area;Arround cribas (area 1);ST-28;4;https://drive.google.com/file/d/1crOT-f7EVGYeJI3W7jA-kWWO5aejHB9T/view?usp=drive_link;;
